timestamp,mine_id,event_type,severity,rainfall,equipment_health,production_impact,detected,actual_outcome
2025-01-15 08:30:00,balaghat,MONSOON,MEDIUM,72.5,83.2,-247 T Deficit,1,Auxiliary pumps engaged; sump protected
2025-01-16 22:30:00,dongri-buzurg,CRUSHER_FAILURE,MEDIUM,2.3,56.8,-182 T Deficit,1,Throughput throttled to 70%; bearing saved
2025-01-18 12:30:00,gumgaon,EQUIPMENT_FAILURE,LOW,1.2,71.2,-77 T Deficit,0,Normal cycle
2025-01-20 02:30:00,tirodi,PRODUCTION_SHORTFALL,CRITICAL,31.0,85.6,-464 T Deficit,1,Stockpile blend ratio updated to 55:45
2025-01-21 16:30:00,ukwa,MULTI_RISK,LOW,41.4,60.3,-203 T Deficit,1,Coordinated multi-vector mitigation protocol activated
2025-01-23 06:30:00,balaghat,MONSOON,HIGH,59.9,73.3,-380 T Deficit,1,Auxiliary pumps engaged; sump protected
2025-01-24 20:30:00,dongri-buzurg,CRUSHER_FAILURE,LOW,4.6,65.2,-98 T Deficit,1,Throughput throttled to 70%; bearing saved
2025-01-26 10:30:00,gumgaon,EQUIPMENT_FAILURE,MEDIUM,8.6,63.8,-143 T Deficit,1,Dumpers diverted to short-haul staging
2025-01-28 00:30:00,tirodi,PRODUCTION_SHORTFALL,MEDIUM,31.4,77.1,-208 T Deficit,1,Stockpile blend ratio updated to 55:45
2025-01-29 14:30:00,ukwa,MULTI_RISK,MEDIUM,55.3,53.7,-377 T Deficit,1,Coordinated multi-vector mitigation protocol activated
2025-01-31 04:30:00,balaghat,MONSOON,MEDIUM,65.0,73.6,-247 T Deficit,1,Auxiliary pumps engaged; sump protected
2025-02-01 18:30:00,dongri-buzurg,CRUSHER_FAILURE,MEDIUM,8.9,56.8,-182 T Deficit,1,Throughput throttled to 70%; bearing saved
2025-02-03 08:30:00,gumgaon,EQUIPMENT_FAILURE,LOW,12.2,71.2,-77 T Deficit,0,Normal cycle
2025-02-04 22:30:00,tirodi,PRODUCTION_SHORTFALL,LOW,12.3,89.2,-112 T Deficit,0,Target met within margin
2025-02-06 12:30:00,ukwa,MULTI_RISK,CRITICAL,158.7,36.1,-841 T Deficit,1,Coordinated multi-vector mitigation protocol activated
2025-02-08 02:30:00,balaghat,MONSOON,MEDIUM,33.7,82.3,-247 T Deficit,0,Minor ponding in ditch
2025-02-09 16:30:00,dongri-buzurg,CRUSHER_FAILURE,MEDIUM,1.8,56.8,-182 T Deficit,1,Throughput throttled to 70%; bearing saved
2025-02-11 06:30:00,gumgaon,EQUIPMENT_FAILURE,MEDIUM,0.7,63.8,-143 T Deficit,1,Dumpers diverted to short-haul staging
2025-02-12 20:30:00,tirodi,PRODUCTION_SHORTFALL,CRITICAL,19.1,84.9,-464 T Deficit,1,Stockpile blend ratio updated to 55:45
2025-02-14 10:30:00,ukwa,MULTI_RISK,MEDIUM,60.8,53.7,-377 T Deficit,1,Coordinated multi-vector mitigation protocol activated
2025-02-16 00:30:00,balaghat,MONSOON,MEDIUM,37.7,87.5,-247 T Deficit,0,Minor ponding in ditch
2025-02-17 14:30:00,dongri-buzurg,CRUSHER_FAILURE,HIGH,14.1,47.0,-280 T Deficit,1,Throughput throttled to 70%; bearing saved
2025-02-19 04:30:00,gumgaon,EQUIPMENT_FAILURE,CRITICAL,12.0,43.8,-319 T Deficit,1,Dumpers diverted to short-haul staging
2025-02-20 18:30:00,tirodi,PRODUCTION_SHORTFALL,CRITICAL,13.1,77.9,-464 T Deficit,1,Stockpile blend ratio updated to 55:45
2025-02-22 08:30:00,ukwa,MULTI_RISK,LOW,29.0,60.3,-203 T Deficit,1,Coordinated multi-vector mitigation protocol activated
2025-02-23 22:30:00,balaghat,MONSOON,MEDIUM,41.6,84.9,-247 T Deficit,0,Minor ponding in ditch
2025-02-25 12:30:00,dongri-buzurg,CRUSHER_FAILURE,MEDIUM,4.2,56.8,-182 T Deficit,1,Throughput throttled to 70%; bearing saved
2025-02-27 02:30:00,gumgaon,EQUIPMENT_FAILURE,MEDIUM,2.8,63.8,-143 T Deficit,1,Dumpers diverted to short-haul staging
2025-02-28 16:30:00,tirodi,PRODUCTION_SHORTFALL,HIGH,12.6,89.8,-320 T Deficit,1,Stockpile blend ratio updated to 55:45
2025-03-02 06:30:00,ukwa,MULTI_RISK,HIGH,75.9,46.0,-580 T Deficit,1,Coordinated multi-vector mitigation protocol activated
2025-03-03 20:30:00,balaghat,MONSOON,LOW,35.7,82.7,-133 T Deficit,0,Minor ponding in ditch
2025-03-05 10:30:00,dongri-buzurg,CRUSHER_FAILURE,HIGH,11.6,47.0,-280 T Deficit,1,Throughput throttled to 70%; bearing saved
2025-03-07 00:30:00,gumgaon,EQUIPMENT_FAILURE,LOW,7.2,71.2,-77 T Deficit,0,Normal cycle
2025-03-08 14:30:00,tirodi,PRODUCTION_SHORTFALL,LOW,40.2,84.3,-112 T Deficit,0,Target met within margin
2025-03-10 04:30:00,ukwa,MULTI_RISK,MEDIUM,44.5,53.7,-377 T Deficit,1,Coordinated multi-vector mitigation protocol activated
2025-03-11 18:30:00,balaghat,MONSOON,MEDIUM,44.0,83.1,-247 T Deficit,0,Minor ponding in ditch
2025-03-13 08:30:00,dongri-buzurg,CRUSHER_FAILURE,HIGH,13.3,47.0,-280 T Deficit,1,Throughput throttled to 70%; bearing saved
2025-03-14 22:30:00,gumgaon,EQUIPMENT_FAILURE,MEDIUM,2.4,63.8,-143 T Deficit,1,Dumpers diverted to short-haul staging
2025-03-16 12:30:00,tirodi,PRODUCTION_SHORTFALL,HIGH,36.6,83.4,-320 T Deficit,1,Stockpile blend ratio updated to 55:45
2025-03-18 02:30:00,ukwa,MULTI_RISK,HIGH,92.2,46.0,-580 T Deficit,1,Coordinated multi-vector mitigation protocol activated
2025-03-19 16:30:00,balaghat,MONSOON,MEDIUM,48.7,70.5,-247 T Deficit,0,Minor ponding in ditch
2025-03-21 06:30:00,dongri-buzurg,CRUSHER_FAILURE,LOW,0.5,65.2,-98 T Deficit,1,Throughput throttled to 70%; bearing saved
2025-03-22 20:30:00,gumgaon,EQUIPMENT_FAILURE,HIGH,6.3,55.0,-220 T Deficit,1,Dumpers diverted to short-haul staging
2025-03-24 10:30:00,tirodi,PRODUCTION_SHORTFALL,MEDIUM,41.8,78.7,-208 T Deficit,1,Stockpile blend ratio updated to 55:45
2025-03-26 00:30:00,ukwa,MULTI_RISK,MEDIUM,69.3,53.7,-377 T Deficit,1,Coordinated multi-vector mitigation protocol activated
2025-03-27 14:30:00,balaghat,MONSOON,LOW,17.6,75.2,-133 T Deficit,0,Minor ponding in ditch
2025-03-29 04:30:00,dongri-buzurg,CRUSHER_FAILURE,LOW,13.9,65.2,-98 T Deficit,1,Throughput throttled to 70%; bearing saved
2025-03-30 18:30:00,gumgaon,EQUIPMENT_FAILURE,HIGH,12.7,55.0,-220 T Deficit,1,Dumpers diverted to short-haul staging
2025-04-01 08:30:00,tirodi,PRODUCTION_SHORTFALL,CRITICAL,38.1,77.8,-464 T Deficit,1,Stockpile blend ratio updated to 55:45
2025-04-02 22:30:00,ukwa,MULTI_RISK,CRITICAL,137.3,36.1,-841 T Deficit,1,Coordinated multi-vector mitigation protocol activated
2025-04-04 12:30:00,balaghat,MONSOON,HIGH,107.7,75.7,-380 T Deficit,1,Auxiliary pumps engaged; sump protected
2025-04-06 02:30:00,dongri-buzurg,CRUSHER_FAILURE,LOW,3.4,65.2,-98 T Deficit,1,Throughput throttled to 70%; bearing saved
2025-04-07 16:30:00,gumgaon,EQUIPMENT_FAILURE,MEDIUM,16.4,63.8,-143 T Deficit,1,Dumpers diverted to short-haul staging
2025-04-09 06:30:00,tirodi,PRODUCTION_SHORTFALL,CRITICAL,10.2,82.7,-464 T Deficit,1,Stockpile blend ratio updated to 55:45
2025-04-10 20:30:00,ukwa,MULTI_RISK,MEDIUM,50.2,53.7,-377 T Deficit,1,Coordinated multi-vector mitigation protocol activated
2025-04-12 10:30:00,balaghat,MONSOON,LOW,24.0,87.0,-133 T Deficit,0,Minor ponding in ditch
2025-04-14 00:30:00,dongri-buzurg,CRUSHER_FAILURE,MEDIUM,7.8,56.8,-182 T Deficit,1,Throughput throttled to 70%; bearing saved
2025-04-15 14:30:00,gumgaon,EQUIPMENT_FAILURE,HIGH,7.3,55.0,-220 T Deficit,1,Dumpers diverted to short-haul staging
2025-04-17 04:30:00,tirodi,PRODUCTION_SHORTFALL,CRITICAL,43.7,78.8,-464 T Deficit,1,Stockpile blend ratio updated to 55:45
2025-04-18 18:30:00,ukwa,MULTI_RISK,MEDIUM,53.0,53.7,-377 T Deficit,1,Coordinated multi-vector mitigation protocol activated
2025-04-20 08:30:00,balaghat,MONSOON,MEDIUM,30.9,81.0,-247 T Deficit,0,Minor ponding in ditch
2025-04-21 22:30:00,dongri-buzurg,CRUSHER_FAILURE,MEDIUM,0.8,56.8,-182 T Deficit,1,Throughput throttled to 70%; bearing saved
2025-04-23 12:30:00,gumgaon,EQUIPMENT_FAILURE,MEDIUM,18.2,63.8,-143 T Deficit,1,Dumpers diverted to short-haul staging
2025-04-25 02:30:00,tirodi,PRODUCTION_SHORTFALL,LOW,15.1,82.3,-112 T Deficit,0,Target met within margin
2025-04-26 16:30:00,ukwa,MULTI_RISK,CRITICAL,113.6,36.1,-841 T Deficit,1,Coordinated multi-vector mitigation protocol activated
2025-04-28 06:30:00,balaghat,MONSOON,HIGH,98.3,74.3,-380 T Deficit,1,Auxiliary pumps engaged; sump protected
2025-04-29 20:30:00,dongri-buzurg,CRUSHER_FAILURE,HIGH,5.5,47.0,-280 T Deficit,1,Throughput throttled to 70%; bearing saved
2025-05-01 10:30:00,gumgaon,EQUIPMENT_FAILURE,HIGH,12.7,55.0,-220 T Deficit,1,Dumpers diverted to short-haul staging
2025-05-03 00:30:00,tirodi,PRODUCTION_SHORTFALL,MEDIUM,13.2,87.5,-208 T Deficit,1,Stockpile blend ratio updated to 55:45
2025-05-04 14:30:00,ukwa,MULTI_RISK,MEDIUM,48.9,53.7,-377 T Deficit,1,Coordinated multi-vector mitigation protocol activated
2025-05-06 04:30:00,balaghat,MONSOON,LOW,30.2,82.2,-133 T Deficit,0,Minor ponding in ditch
2025-05-07 18:30:00,dongri-buzurg,CRUSHER_FAILURE,LOW,7.7,65.2,-98 T Deficit,1,Throughput throttled to 70%; bearing saved
2025-05-09 08:30:00,gumgaon,EQUIPMENT_FAILURE,LOW,12.9,71.2,-77 T Deficit,0,Normal cycle
2025-05-10 22:30:00,tirodi,PRODUCTION_SHORTFALL,LOW,34.2,80.8,-112 T Deficit,0,Target met within margin
2025-05-12 12:30:00,ukwa,MULTI_RISK,CRITICAL,105.2,36.1,-841 T Deficit,1,Coordinated multi-vector mitigation protocol activated
2025-05-14 02:30:00,balaghat,MONSOON,MEDIUM,34.4,86.6,-247 T Deficit,0,Minor ponding in ditch
2025-05-15 16:30:00,dongri-buzurg,CRUSHER_FAILURE,CRITICAL,3.9,35.0,-406 T Deficit,1,Throughput throttled to 70%; bearing saved
2025-05-17 06:30:00,gumgaon,EQUIPMENT_FAILURE,HIGH,16.3,55.0,-220 T Deficit,1,Dumpers diverted to short-haul staging
2025-05-18 20:30:00,tirodi,PRODUCTION_SHORTFALL,MEDIUM,28.5,78.6,-208 T Deficit,1,Stockpile blend ratio updated to 55:45
2025-05-20 10:30:00,ukwa,MULTI_RISK,LOW,40.0,60.3,-203 T Deficit,1,Coordinated multi-vector mitigation protocol activated
2025-05-22 00:30:00,balaghat,MONSOON,CRITICAL,129.5,76.1,-551 T Deficit,1,Auxiliary pumps engaged; sump protected
2025-05-23 14:30:00,dongri-buzurg,CRUSHER_FAILURE,MEDIUM,10.9,56.8,-182 T Deficit,1,Throughput throttled to 70%; bearing saved
2025-05-25 04:30:00,gumgaon,EQUIPMENT_FAILURE,CRITICAL,17.7,43.8,-319 T Deficit,1,Dumpers diverted to short-haul staging
2025-05-26 18:30:00,tirodi,PRODUCTION_SHORTFALL,HIGH,32.5,76.3,-320 T Deficit,1,Stockpile blend ratio updated to 55:45
